Temperature,Pressure,Data
12.9167,102.154,803.505
12.9167,109.444,809.277
12.9167,116.733,814.69
12.9167,124.023,819.807
12.9167,131.313,824.684
12.9167,138.602,829.379
12.9167,145.892,833.957
12.9167,153.181,838.486
12.9167,160.471,843.024
12.9167,167.76,847.594
12.9167,175.05,852.167
12.9167,182.34,856.656
12.9167,189.629,860.944
12.9167,196.919,864.915
12.9167,204.208,868.488
12.9167,211.498,871.621
12.9167,218.788,874.309
12.9167,226.077,876.571
12.9167,233.367,878.436
12.9167,240.656,879.943
12.9167,247.946,881.129
12.9167,255.235,882.031
12.9167,262.525,882.681
12.9167,269.815,883.11
12.9167,277.104,883.345
12.9167,284.394,883.408
12.9167,291.683,470.784
12.9167,298.973,466.788
12.9167,306.263,462.601
12.9167,313.552,458.326
12.9167,320.842,453.96
12.9167,328.131,449.499
12.9167,335.421,444.939
12.9167,342.71,515.393
12.9167,350.0,512.061
15.2083,0.1,624.449
15.2083,1.01325,648.898
15.2083,7.38958,672.426
15.2083,14.6792,693.593
15.2083,21.9688,712.002
15.2083,29.2583,727.861
15.2083,36.5479,741.558
15.2083,43.8375,753.48
15.2083,51.1271,763.958
15.2083,58.4167,773.264
15.2083,65.7063,781.62
15.2083,72.9958,789.205
15.2083,80.2854,790.31
15.2083,87.575,796.159
15.2083,94.8646,802.594
15.2083,102.154,808.597
15.2083,109.444,814.242
15.2083,116.733,819.595
15.2083,124.023,824.724
15.2083,131.313,829.699
15.2083,138.602,834.588
15.2083,145.892,839.443
15.2083,153.181,844.279
15.2083,160.471,849.061
15.2083,167.76,853.707
15.2083,175.05,858.112
15.2083,182.34,862.178
15.2083,189.629,865.838
15.2083,196.919,869.062
15.2083,204.208,871.848
15.2083,211.498,874.215
15.2083,218.788,876.193
15.2083,226.077,877.817
15.2083,233.367,879.122
15.2083,240.656,880.145
15.2083,247.946,880.915
15.2083,255.235,881.462
15.2083,262.525,881.812
15.2083,269.815,881.987
15.2083,277.104,482.457
15.2083,284.394,478.65
15.2083,291.683,474.774
15.2083,298.973,470.825
15.2083,306.263,466.803
15.2083,313.552,462.841
15.2083,320.842,458.68
15.2083,328.131,454.437
15.2083,335.421,450.109
15.2083,342.71,518.556
15.2083,350.0,515.334
15.56,0.1,665.559
15.56,1.01325,686.034
15.56,7.38958,703.985
15.56,14.6792,719.693
15.56,21.9688,733.505
15.56,29.2583,745.731
15.56,36.5479,756.635
15.56,43.8375,766.435
15.56,51.1271,775.312
15.56,58.4167,783.418
15.56,65.7063,790.873
15.56,72.9958,797.78
15.56,80.2854,798.797
15.56,87.575,804.223
15.56,94.8646,810.279
15.56,102.154,816.02
15.56,109.444,821.521
15.56,116.733,826.852
15.56,124.023,832.072
15.56,131.313,837.216
15.56,138.602,842.277
15.56,145.892,847.206
15.56,153.181,851.922
15.56,160.471,856.339
15.56,167.76,860.383
15.56,175.05,864.013
15.56,182.34,867.212
15.56,189.629,869.989
15.56,196.919,872.365
15.56,204.208,874.369
15.56,211.498,876.036
15.56,218.788,877.398
15.56,226.077,878.486
15.56,233.367,879.329
15.56,240.656,879.956
15.56,247.946,880.388
15.56,255.235,880.647
15.56,262.525,493.086
15.56,269.815,489.536
15.56,277.104,485.927
15.56,284.394,482.258
15.56,291.683,478.527
15.56,298.973,474.732
15.56,306.263,470.872
15.56,313.552,466.943
15.56,320.842,462.945
15.56,328.131,458.874
15.56,335.421,454.897
15.56,342.71,521.569
15.56,350.0,518.448
17.5,0.1,708.847
17.5,1.01325,721.976
17.5,7.38958,734.062
17.5,14.6792,745.176
17.5,21.9688,755.399
17.5,29.2583,764.818
17.5,36.5479,773.516
17.5,43.8375,781.575
17.5,51.1271,789.072
17.5,58.4167,796.077
17.5,65.7063,802.662
17.5,72.9958,808.896
17.5,80.2854,809.826
17.5,87.575,814.847
17.5,94.8646,820.579
17.5,102.154,826.147
17.5,109.444,831.581
17.5,116.733,836.88
17.5,124.023,842.012
17.5,131.313,846.917
17.5,138.602,851.527
17.5,145.892,855.782
17.5,153.181,859.644
17.5,160.471,863.096
17.5,167.76,866.139
17.5,175.05,868.79
17.5,182.34,871.072
17.5,189.629,873.015
17.5,196.919,874.647
17.5,204.208,875.997
17.5,211.498,877.094
17.5,218.788,877.962
